SEXO,IDADE,REGIME,FACCAO,CARGO_FACCAO,UNIDADE
30,40,2401,,,495478
30,36,2407,,,584662
30,26,2407,,,584662
30,22,1647,,,473393
30,36,1646,,,883316
30,32,1647,,,559396
30,30,1647,,,190238
30,30,2402,,,704585
30,22,2403,,,105693
30,32,1646,,,704971
30,26,2403,,,559396
30,29,2403,,,657728
30,41,1646,,,883316
30,27,1646,,,883316
30,26,2409,,,559396
30,25,1647,,,190238
30,26,1647,,,495478
30,28,2402,,,495478
30,31,2401,,,994414
30,33,1647,,,820657
30,29,2403,,,250958
30,19,2401,,,322353
30,31,1647,,,925279
30,27,1646,,,883316
30,24,2403,,,495478
30,31,1646,,,883316
30,,1647,,,495478
30,38,1646,,,950426
30,21,1647,,,495478
30,21,2406,,,584662
30,33,1647,,,112971
30,23,2403,,,322353
30,29,2402,,,559396
30,25,2403,,,704585
30,31,1646,,,577141
30,43,1647,,,994415
30,29,1646,,,883316
30,28,1647,,,105693
30,37,1647,,,105693
30,23,1650,,,559396
30,27,2403,,,559396
30,22,1650,,,960097
30,23,2404,,,559396
30,35,2401,,,250958
30,26,1647,,,495478
30,,2406,,,584662
30,22,1647,,,495478
30,42,2405,,,584662
30,33,1647,,,250958
30,27,2403,,,559396
30,38,2403,,,559396
30,32,1647,,,250958
30,29,2401,,,250958
30,28,1647,,,495478
30,29,1647,,,190238
30,24,1647,,,657728
30,21,1647,,,816503
30,20,1646,,,326340
30,22,1647,,,473393
30,49,1646,,,663771
30,40,1647,,,495478
30,20,2403,,,495478
30,22,2403,,,495478
30,25,1647,,,495478
30,21,2402,,,559396
30,49,1647,,,105693
30,31,2401,,,250958
30,36,2402,,,112971
30,32,1647,,,495478
30,45,2407,,,584662
30,29,2401,,,559396
30,28,1647,,,250958
30,40,1647,,,112971
30,31,1647,,,591098
30,26,1646,,,190238
30,35,2402,,,105693
30,32,1646,,,883316
30,24,1647,,,960097
30,28,1647,,,657728
30,37,2403,,,816503
30,29,2402,,,559396
30,23,2403,,,962437
30,31,1647,,,250958
30,33,2403,,,994414
30,28,2401,,,190238
30,20,1646,,,883316
30,32,1646,,,577141
30,26,2401,,,112971
30,30,1647,,,639335
31,26,1646,,,36233
30,37,1646,,,112971
30,28,2401,,,250958
30,28,2401,,,250958
30,31,1646,,,326340
30,21,2402,,,250958
30,41,1647,,,250958
30,44,1647,,,190238
30,34,1647,,,559396
30,31,2402,,,639335
30,,1647,,,639335
30,34,1647,,,250958
30,58,1647,,,975291
30,37,1647,,,105693
30,22,2405,,,584662
30,48,1646,,,577141
30,46,2403,,,989300
30,23,1647,,,495478
30,46,1646,,,950252
30,29,1647,,,994414
30,54,2407,,,584662
30,27,1647,,,284873
30,20,1647,,,621558
30,23,2406,,,584662
31,38,1646,,,36233
30,,2405,,,584662
30,23,1647,,,704585
30,52,1646,,,523461
30,22,1647,,,112971
30,24,1647,,,523461
30,29,1647,,,639335
30,31,1647,,,495478
30,21,2405,,,584662
30,32,1646,,,326340
30,28,1647,,,250958
30,26,1647,,,657728
31,53,1647,,,212316
30,43,1647,,,250958
30,34,1647,,,250958
30,29,1647,,,960097
30,26,1647,,,190238
30,32,2402,,,746323
30,48,1647,,,112971
30,27,1647,,,820657
30,23,1647,,,639335
30,26,2401,,,704971
30,27,1647,,,960097
30,61,1647,,,639335
30,21,1647,,,530032
30,27,2401,,,960097
30,22,1647,,,563930
30,47,1646,,,950252
30,31,2403,,,591098
30,42,1647,,,663771
30,25,1647,,,994419
30,25,1646,,,326340
30,20,1650,,,960097
30,24,1647,,,994416
30,48,1647,,,621558
30,29,2403,,,250958
30,33,1646,,,326340
30,30,1647,,,994414
30,28,1647,,,639335
30,33,1647,,,530032
30,27,2405,,,584662
31,25,2403,,,36233
30,29,1647,,,839990
30,29,1647,,,994418
30,46,1646,,,523461
30,28,1647,,,138000
30,25,2401,,,250958
30,21,1647,,,925279
30,39,2403,,,112971
30,22,1647,,,495478
30,27,1647,,,559396
30,29,2402,,,559396
30,44,1647,,,994418
30,24,1647,,,322353
30,34,2402,,,105693
30,26,1646,,,523461
30,67,1650,,,639335
30,28,1647,,,495478
30,20,1646,,,212316
30,48,1647,,,523461
30,32,2402,,,250958
30,40,1647,,,559396
30,40,1647,,,250958
31,46,1646,,,36233
30,31,2406,,,584662
30,39,1647,,,250958
30,35,2403,,,559396
30,25,1647,,,495478
30,29,1647,,,816503
30,33,1647,,,190238
30,19,2403,,,112971
30,25,2402,,,198986
30,21,2407,,,584662
30,21,2403,,,250958
30,49,1646,,,816503
30,33,2401,,,559396
30,23,1647,,,105693
30,26,2407,,,584662
30,32,2403,,,212316
30,29,1646,,,883316
30,24,1647,,,559396
30,26,2403,,,190238
30,24,2401,,,138000
30,26,2405,,,584662
30,27,1647,,,105693
30,37,1646,,,495478
30,26,2406,,,584662
30,21,2401,,,190238
31,44,1646,,,36233
30,41,1646,,,190238
30,26,1647,,,495478
30,31,1647,,,495478
30,36,2406,,,584662
30,33,1646,,,746323
30,48,1647,,,105693
30,21,1647,,,994416
30,24,1647,,,975291
30,35,1646,,,326340
31,49,1646,,,36233
30,24,2403,,,558029
30,31,1647,,,190238
30,31,1647,,,559396
30,21,1646,,,250958
30,,2403,,,559396
30,24,1647,,,657728
30,68,1647,,,105693
30,42,2405,,,584662
30,40,1646,,,326340
30,27,1647,,,495478
30,22,1646,,,883316
30,37,1646,,,704971
30,49,1647,,,621558
30,,2403,,,190238
30,56,1647,,,950426
